timestamp,symbol,signal,reason,trend_ok,rsi_ok,volume_ok,vwap_ok,rel_vol_ok,not_extended,spread_ok,ema_20,ema_50,rsi_14,volume,volume_avg,vwap,relative_volume
2026-06-16T13:42:46.524468+00:00,SOFI,True,All conditions met,True,True,True,True,True,True,True,17.1709,17.1674,77.2176,18584.0000,7615.1000,17.2417,2.4404
2026-06-16T13:42:46.769882+00:00,HOOD,False,skipped: RSI below 58.0 (got 55.5); skipped: relative volume below 2.0 (got 1.51),True,False,True,True,False,True,True,99.0577,99.0015,55.5371,21488.0000,14219.6500,99.5132,1.5111
2026-06-16T13:42:46.905864+00:00,AMD,False,skipped: price below VWAP(543.41); skipped: EMA20(544.87) not above EMA50(545.59); skipped: RSI below 58.0 (got 37.9); skipped: relative volume below 2.0 (got 0.47); skipped: volume(5083) not above avg(10767),False,False,False,False,False,True,True,544.8689,545.5934,37.8997,5083.0000,10767.1000,543.4070,0.4721
2026-06-16T13:42:47.045920+00:00,PLTR,False,skipped: price below VWAP(132.43); skipped: RSI below 58.0 (got 24.2); skipped: relative volume below 2.0 (got 0.80); skipped: volume(10040) not above avg(12556),True,False,False,False,False,True,True,133.7545,133.7307,24.1652,10040.0000,12555.8000,132.4315,0.7996
2026-06-16T13:42:47.171666+00:00,SNAP,False,skipped: RSI below 58.0 (got 42.9); skipped: relative volume below 2.0 (got 0.20); skipped: volume(14302) not above avg(71209),True,False,False,True,False,True,True,5.6229,5.6162,42.8617,14302.0000,71209.0000,5.5501,0.2008
2026-06-16T13:42:47.388313+00:00,BAC,False,skipped: price below VWAP(56.52); skipped: relative volume below 2.0 (got 0.68); skipped: volume(20288) not above avg(29976),True,True,False,False,False,True,True,56.1339,56.1137,70.2017,20288.0000,29975.6000,56.5230,0.6768
2026-06-16T13:47:47.957605+00:00,HOOD,False,skipped: price below VWAP(99.45); skipped: RSI below 58.0 (got 51.9); skipped: relative volume below 2.0 (got 0.70); skipped: volume(10450) not above avg(14900),True,False,False,False,False,True,True,99.0316,98.9920,51.9307,10450.0000,14900.4500,99.4482,0.7013
2026-06-16T13:47:48.160095+00:00,AMD,False,skipped: price below VWAP(542.90); skipped: EMA20(544.39) not above EMA50(545.37); skipped: RSI below 58.0 (got 40.4); skipped: relative volume below 2.0 (got 0.30); skipped: volume(3285) not above avg(11079),False,False,False,False,False,True,True,544.3933,545.3656,40.3657,3285.0000,11079.3000,542.8953,0.2965
2026-06-16T13:47:48.311022+00:00,PLTR,False,skipped: RSI below 58.0 (got 41.1); skipped: relative volume below 2.0 (got 0.89); skipped: volume(12254) not above avg(13745),True,False,False,True,False,True,True,133.7690,133.7395,41.1408,12254.0000,13744.5500,132.6015,0.8916
2026-06-16T13:47:48.464695+00:00,SNAP,False,skipped: RSI below 58.0 (got 51.4); skipped: relative volume below 2.0 (got 0.16); skipped: volume(11790) not above avg(72098),True,False,False,True,False,True,True,5.6276,5.6185,51.4465,11790.0000,72097.6000,5.5629,0.1635
2026-06-16T13:47:48.601021+00:00,BAC,False,skipped: relative volume below 2.0 (got 1.32),True,True,True,True,False,True,True,56.1708,56.1296,70.4428,44230.0000,33478.4000,56.5178,1.3212
2026-06-16T13:52:49.238585+00:00,HOOD,False,skipped: price below VWAP(99.40); skipped: RSI below 58.0 (got 46.3); skipped: relative volume below 2.0 (got 0.51); skipped: volume(7996) not above avg(15710),True,False,False,False,False,True,True,99.0074,98.9838,46.2909,7996.0000,15709.5000,99.3951,0.5090
2026-06-16T13:52:49.406067+00:00,AMD,False,skipped: price below VWAP(542.73); skipped: EMA20(544.08) not above EMA50(545.20); skipped: RSI below 58.0 (got 40.2); skipped: relative volume below 2.0 (got 0.21); skipped: volume(2284) not above avg(11037),False,False,False,False,False,True,True,544.0796,545.1976,40.2111,2284.0000,11036.8000,542.7301,0.2069
2026-06-16T13:52:49.576922+00:00,PLTR,False,skipped: RSI below 58.0 (got 43.9); skipped: relative volume below 2.0 (got 0.71); skipped: volume(10687) not above avg(15080),True,False,False,True,False,True,True,133.7292,133.7244,43.9001,10687.0000,15080.3000,132.7442,0.7087
2026-06-16T13:52:49.774678+00:00,SNAP,False,skipped: RSI below 58.0 (got 55.9); skipped: relative volume below 2.0 (got 0.18); skipped: volume(13288) not above avg(72281),True,False,False,True,False,True,True,5.6334,5.6212,55.9288,13288.0000,72281.2000,5.5776,0.1838
2026-06-16T13:52:49.938716+00:00,BAC,False,skipped: price below VWAP(56.53); skipped: relative volume below 2.0 (got 0.55); skipped: volume(19320) not above avg(35321),True,True,False,False,False,True,True,56.2084,56.1468,68.7388,19320.0000,35320.7000,56.5305,0.5470
2026-06-16T14:12:52.087574+00:00,HOOD,False,skipped: price below VWAP(99.20); skipped: EMA20(98.96) not above EMA50(98.96); skipped: RSI below 58.0 (got 49.2); skipped: relative volume below 2.0 (got 0.50); skipped: volume(8575) not above avg(17004),False,False,False,False,False,True,True,98.9613,98.9638,49.1722,8575.0000,17003.9500,99.2039,0.5043
